"","t","Base","Height","Error Count Mean","% Error Count Mean","Correct Count Mean","% Correct Mean","False Positives Count Mean","% False Positives Count Mean","False Negative Count Mean","% False Negatives Count Mean","Error Count SD","% Error Count SD","Correct Count SD","% Correct SD","False Positives Count SD","% False Positives SD","False Negative Count SD","% False Negatives Count SD"
"169",1.10526315789474,5.79368421052632,2.76162790697674,224.05,2.2405,9775.95,97.7595,151.75,1.5175,72.3,0.723,37.4875066908262,0.374875066908262,37.4875066908262,0.374875066908261,54.5410275316713,0.545410275316713,32.9866001502684,0.329866001502684
"170",1.26315789473684,5.79368421052632,2.76162790697674,243.45,2.4345,9756.55,97.5655,156.35,1.5635,87.1,0.871,44.6300288335579,0.446300288335579,44.6300288335579,0.446300288335578,48.9384952342169,0.489384952342169,41.0030807571693,0.410030807571693
"171",1.42105263157895,5.79368421052632,2.76162790697674,233.6,2.336,9766.4,97.664,134.3,1.343,99.3,0.993,38.5219008111654,0.385219008111654,38.5219008111654,0.385219008111652,34.3098880944347,0.343098880944347,34.6122886604713,0.346122886604713
"172",1.57894736842105,5.79368421052632,2.76162790697674,248.6,2.486,9751.4,97.514,125.95,1.2595,122.65,1.2265,33.0906251630913,0.330906251630913,33.0906251630913,0.330906251630913,50.190662792784,0.50190662792784,49.0759615290419,0.490759615290419
"173",1.73684210526316,5.79368421052632,2.76162790697674,273.35,2.7335,9726.65,97.2665,169.25,1.6925,104.1,1.041,35.3110613353886,0.353110613353886,35.3110613353886,0.353110613353889,53.648833802992,0.53648833802992,47.857133879474,0.47857133879474
"174",1.89473684210526,5.79368421052632,2.76162790697674,260.25,2.6025,9739.75,97.3975,142.2,1.422,118.05,1.1805,42.2933054301804,0.422933054301804,42.2933054301804,0.422933054301805,38.3070695687802,0.383070695687802,27.0505861401618,0.270505861401618
"175",2.05263157894737,5.79368421052632,2.76162790697674,286.5,2.865,9713.5,97.135,158.2,1.582,128.3,1.283,42.6102285718742,0.426102285718742,42.6102285718742,0.426102285718743,56.3472317537942,0.563472317537942,56.149330970378,0.56149330970378
"176",2.21052631578947,5.79368421052632,2.76162790697674,286.05,2.8605,9713.95,97.1395,161.05,1.6105,125,1.25,39.0255988861293,0.390255988861292,39.0255988861293,0.390255988861293,40.6790713033774,0.406790713033774,35.1508029405933,0.351508029405933
"177",2.36842105263158,5.79368421052632,2.76162790697674,305.35,3.0535,9694.65,96.9465,145.1,1.451,160.25,1.6025,47.5419759127049,0.475419759127049,47.5419759127049,0.475419759127049,50.399352543878,0.50399352543878,70.2445914756357,0.702445914756357
"178",2.52631578947368,5.79368421052632,2.76162790697674,306.15,3.0615,9693.85,96.9385,183.6,1.836,122.55,1.2255,25.1234321322797,0.251234321322797,25.1234321322797,0.251234321322798,47.6913321044269,0.476913321044269,42.075714960933,0.42075714960933
"179",2.68421052631579,5.79368421052632,2.76162790697674,330.9,3.309,9669.1,96.691,202.5,2.025,128.4,1.284,28.265470845278,0.282654708452781,28.265470845278,0.282654708452781,44.5663314031662,0.445663314031662,49.5467880949544,0.495467880949544
"180",2.84210526315789,5.79368421052632,2.76162790697674,359.45,3.5945,9640.55,96.4055,229.05,2.2905,130.4,1.304,43.1843965485586,0.431843965485586,43.1843965485586,0.431843965485587,56.489845384626,0.56489845384626,47.513322231493,0.47513322231493
"181",0,6.31947368421053,2.53185641709003,203.25,2.0325,9796.75,97.9675,117.35,1.1735,85.9,0.859,36.0786786430931,0.36078678643093,36.0786786430931,0.360786786430932,29.1082824169197,0.291082824169197,31.9405698133267,0.319405698133268
"182",0.157894736842105,6.31947368421053,2.53185641709003,228.55,2.2855,9771.45,97.7145,143.7,1.437,84.85,0.8485,37.1504409550936,0.371504409550936,37.1504409550936,0.371504409550936,46.2397641589323,0.462397641589323,43.0021725277371,0.430021725277371
"183",0.315789473684211,6.31947368421053,2.53185641709003,220.7,2.207,9779.3,97.793,102.4,1.024,118.3,1.183,35.1404699965573,0.351404699965573,35.1404699965573,0.351404699965572,43.9502110646989,0.439502110646989,33.4822812528468,0.334822812528468
"184",0.473684210526316,6.31947368421053,2.53185641709003,220.1,2.201,9779.9,97.799,126.8,1.268,93.3,0.933,31.4941932826722,0.314941932826722,31.4941932826722,0.314941932826721,48.1681266093319,0.481681266093319,36.4851808417148,0.364851808417148
"185",0.631578947368421,6.31947368421053,2.53185641709003,228,2.28,9772,97.72,127.25,1.2725,100.75,1.0075,44.4510375226732,0.444510375226732,44.4510375226732,0.444510375226733,42.4113626780669,0.424113626780669,46.8759561305996,0.468759561305996
