"","n","Error Count Mean","% Error Count Mean","Correct Count Mean","% Correct Mean","False Positives Count Mean","% False Positives Count Mean","False Negative Count Mean","% False Negatives Count Mean","Error Count SD","% Error Count SD","Correct Count SD","% Correct SD","False Positives Count SD","% False Positives SD","False Negative Count SD","% False Negatives Count SD"
"1",100,472.2,4.722,9527.8,95.278,312.05,3.1205,160.15,1.6015,132.438108683184,1.32438108683184,132.438108683184,1.32438108683184,173.538248476267,1.73538248476267,139.289276800402,1.39289276800402
"2",200,327.1,3.271,9672.9,96.729,204.4,2.044,122.7,1.227,62.7248796436931,0.627248796436931,62.7248796436931,0.62724879643693,91.7441522587909,0.917441522587909,67.9303823197342,0.679303823197342
"3",300,295.25,2.9525,9704.75,97.0475,190.5,1.905,104.75,1.0475,54.4879271997597,0.544879271997597,54.4879271997597,0.544879271997597,68.4816533248524,0.684816533248524,50.5359434358098,0.505359434358098
"4",400,234.45,2.3445,9765.55,97.6555,136.45,1.3645,98,0.98,42.0168825718024,0.420168825718024,42.0168825718024,0.420168825718024,77.5251911520242,0.775251911520242,64.9704386220136,0.649704386220136
"5",500,196.1,1.961,9803.9,98.039,104.95,1.0495,91.15,0.9115,34.9223198120147,0.349223198120147,34.9223198120147,0.349223198120147,36.9999644381052,0.369999644381052,38.4314495665916,0.384314495665916
"6",600,182.55,1.8255,9817.45,98.1745,111.2,1.112,71.35,0.7135,31.5218804541928,0.315218804541928,31.5218804541928,0.315218804541925,41.7493775560282,0.417493775560282,36.2437290401642,0.362437290401642
"7",700,172.25,1.7225,9827.75,98.2775,106.05,1.0605,66.2,0.662,31.2003289456344,0.312003289456344,31.2003289456344,0.312003289456345,29.603475969448,0.29603475969448,19.6859554531972,0.196859554531972
"8",800,162.6,1.626,9837.4,98.374,95.4,0.954,67.2,0.672,30.8022555565079,0.308022555565079,30.8022555565079,0.308022555565077,32.2627371827983,0.322627371827983,30.2595787357187,0.302595787357187
