"","f","Error Count Mean","% Error Count Mean","Correct Count Mean","% Correct Mean","False Positives Count Mean","% False Positives Count Mean","False Negative Count Mean","% False Negatives Count Mean","Error Count SD","% Error Count SD","Correct Count SD","% Correct SD","False Positives Count SD","% False Positives SD","False Negative Count SD","% False Negatives Count SD"
"1",0,207.5,2.075,9792.5,97.925,120.55,1.2055,86.95,0.8695,40.7062648740952,0.407062648740952,40.7062648740952,0.407062648740952,46.7945959543013,0.467945959543013,32.1173424213543,0.321173424213543
"2",0.05,239.1,2.391,9760.9,97.609,132.35,1.3235,106.75,1.0675,50.6971399587787,0.506971399587787,50.6971399587787,0.50697139958779,37.867184793836,0.37867184793836,41.6196752560739,0.416196752560739
"3",0.1,300.95,3.0095,9699.05,96.9905,140.35,1.4035,160.6,1.606,73.7866590423471,0.737866590423471,73.7866590423471,0.737866590423471,44.2936077127448,0.442936077127448,80.8763839058363,0.808763839058363
"4",0.15,523.25,5.2325,9476.75,94.7675,177.25,1.7725,346,3.46,156.461152064221,1.56461152064221,156.461152064221,1.56461152064221,59.7326279524454,0.597326279524454,130.309752432223,1.30309752432223
"5",0.2,793.45,7.9345,9206.55,92.0655,163.85,1.6385,629.6,6.296,139.440791056729,1.39440791056729,139.440791056729,1.39440791056729,78.5990993654039,0.785990993654039,158.490710337098,1.58490710337098
"6",0.25,1392.85,13.9285,8607.15,86.0715,230.75,2.3075,1162.1,11.621,278.371821585145,2.78371821585145,278.371821585145,2.78371821585145,97.2500169124596,0.972500169124596,289.523365114749,2.89523365114749
"7",0.3,1871.5,18.715,8128.5,81.285,222.9,2.229,1648.6,16.486,310.593913249066,3.10593913249066,310.593913249066,3.10593913249066,92.8314261670612,0.928314261670611,304.572418145072,3.04572418145072
